timestep,mean_return,std_return,max_return,min_return,algorithm,env_type,seed
5000,90.41825379230843,4.609772195990465,96.2955547081554,83.70831601065981,PPO,RN,0
10000,257.2435301809275,3.783835579175889,264.12421520988045,252.83455094348378,PPO,RN,0
15000,257.5478113770485,3.1284866196056482,262.7058143402125,254.02341725431626,PPO,RN,0
20000,253.18313917903455,5.784204486846779,261.05297021990725,244.78247054151083,PPO,RN,0
25000,261.94292020448177,5.71047892595888,271.42135465219894,254.5470602590714,PPO,RN,0
30000,258.30855023273665,2.8633167083672655,262.4553509500812,254.29067539400555,PPO,RN,0
35000,256.29978990104934,2.258355256283754,260.2882289206362,254.218280942241,PPO,RN,0
40000,256.47977767904223,3.5242087041423806,262.7534916106809,252.365010543472,PPO,RN,0
45000,261.05378714177357,3.612329885973111,267.53005306477036,257.8670361989711,PPO,RN,0
50000,260.38027417021823,2.516854013460682,264.62496804240476,257.4025847420898,PPO,RN,0
55000,259.44661475402415,1.201989602455273,260.7369161526181,257.265034707781,PPO,RN,0
60000,259.7745556006431,2.655476025746263,264.494745705549,256.7720036054858,PPO,RN,0
65000,258.3167386872322,1.1624889358709942,259.8265219356451,256.38598472011466,PPO,RN,0
70000,265.94659261461413,3.416350093286726,270.87403365424694,262.23186401497054,PPO,RN,0
75000,267.0868187463742,4.7524846736222575,272.5809312895061,260.9590991552623,PPO,RN,0
80000,262.9344312534541,3.9109498869872663,266.6410039890042,256.4646140872987,PPO,RN,0
85000,264.7046224514069,4.014706484014514,269.7200149942805,257.52458436728864,PPO,RN,0
90000,261.6343758442911,2.942071355890535,265.11918301656743,258.1463033200406,PPO,RN,0
95000,263.4653193578496,3.8832787388993784,269.86273979499737,259.4938249786992,PPO,RN,0
100000,264.6102408044002,3.9640505538051465,272.407671854465,261.6999145762302,PPO,RN,0
105000,265.1170970903941,2.1703406878430958,267.8999377568191,261.4374419994295,PPO,RN,0
110000,266.0085615473972,1.734562563437826,267.9883875696463,263.17239192689243,PPO,RN,0
115000,266.6208054666551,4.908953463788343,273.3827529436754,259.6253575989374,PPO,RN,0
120000,262.342239927739,3.2595067582667547,266.2282340021951,257.0450353524826,PPO,RN,0
125000,260.03902514627407,4.453919192478578,267.2190766466875,254.45609450252243,PPO,RN,0
130000,262.80360366207844,4.9454138201098905,269.3785660041178,256.17295449943975,PPO,RN,0
135000,268.05601556542604,5.4422056740581,277.0842860417382,261.4011059895238,PPO,RN,0
